"","idnum","question","replaced","Age","female","RBlack","RWhite","RHispanic","RNative","RAsian","RPacific","ROther","Educ","Inc","Home1","Home2","Spiritual","UrbRur","Region","Condition","event","overall_deflection","actor_deflection","behavior_deflection","object_deflection","abo","a_bo","ab_o"
"52",119,"replaced2","B",31,0,0,1,0,0,0,0,0,2,7,1,2,4,3,7,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"53",123,"replaced2","B",26,1,0,1,0,0,0,0,0,3,3,2,2,2,4,3,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"54",130,"replaced2","O",22,0,0,0,0,0,1,0,0,3,1,1,2,4,2,6,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"55",134,"replaced2","B",34,0,0,1,0,0,0,0,0,5,4,2,2,4,5,2,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"56",136,"replaced2","O",23,0,0,0,0,0,1,0,0,3,2,1,2,4,5,6,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"57",141,"replaced2","B",46,0,0,1,0,0,0,0,0,3,5,1,2,2,4,2,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"58",143,"replaced2","B",23,0,0,0,0,0,1,0,0,5,8,1,2,1,2,3,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"59",145,"replaced2","O",37,1,0,1,0,0,0,0,0,4,4,1,2,2,4,3,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"60",146,"replaced2","B",49,1,0,1,0,0,0,0,0,5,5,1,2,3,2,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"61",148,"replaced2","O",29,1,0,0,0,0,1,0,0,6,2,1,2,4,1,6,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
"62",150,"replaced2","B",34,1,0,1,0,0,0,0,0,5,7,1,2,4,4,5,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
